STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,TOTAL IPC CRIMES
MAHARASHTRA,AURANGABAD COMMR.,2010,38,86,10,157,3953
MAHARASHTRA,AURANGABAD RURAL,2010,49,33,21,303,3223
MAHARASHTRA,BEED,2010,86,74,11,360,4049
MAHARASHTRA,BHANDARA,2010,24,7,3,61,2242
MAHARASHTRA,BULDHANA,2010,59,48,34,185,3972
MAHARASHTRA,CHANDRAPUR,2010,56,29,7,147,4006
MAHARASHTRA,DHULE,2010,48,54,6,234,2974
MAHARASHTRA,GADCHIROLI,2010,58,30,0,20,1082
MAHARASHTRA,GONDIA,2010,29,15,3,41,1982
MAHARASHTRA,HINGOLI,2010,38,36,1,115,1865
MAHARASHTRA,JALGAON,2010,94,71,11,425,5408
MAHARASHTRA,JALNA,2010,51,43,40,315,2960
MAHARASHTRA,KOLHAPUR,2010,52,30,18,96,3727
MAHARASHTRA,LATUR,2010,65,41,3,229,3513
MAHARASHTRA,MUMBAI COMMR.,2010,228,170,21,312,33932
MAHARASHTRA,MUMBAI RLY.,2010,6,7,0,0,2322
MAHARASHTRA,NAGPUR COMMR.,2010,88,69,8,175,7728
MAHARASHTRA,NAGPUR RLY.,2010,10,3,0,0,1135
MAHARASHTRA,NAGPUR RURAL,2010,86,29,8,56,3922
MAHARASHTRA,NANDED,2010,82,67,68,315,5312
MAHARASHTRA,NANDURBAR,2010,43,14,2,88,1542
MAHARASHTRA,NASIK COMMR.,2010,37,32,2,124,4484
MAHARASHTRA,NASIK RURAL,2010,91,49,6,344,5011
MAHARASHTRA,NAVI MUMBAI,2010,57,27,3,89,5873
MAHARASHTRA,OSMANABAD,2010,44,31,2,161,2831
MAHARASHTRA,PARBHANI,2010,41,49,5,209,3043
MAHARASHTRA,PUNE COMMR.,2010,129,94,4,214,13602
MAHARASHTRA,PUNE RLY.,2010,0,1,0,0,439
MAHARASHTRA,PUNE RURAL,2010,141,81,15,200,7741
MAHARASHTRA,RAIGAD,2010,44,22,0,49,2006
MAHARASHTRA,RATNAGIRI,2010,23,10,0,33,1604
MAHARASHTRA,SANGLI,2010,61,33,18,84,2922
MAHARASHTRA,SATARA,2010,43,59,0,170,4349
MAHARASHTRA,SINDHUDURG,2010,14,7,0,11,815
MAHARASHTRA,SOLAPUR COMMR.,2010,20,16,2,78,1623
MAHARASHTRA,SOLAPUR RURAL,2010,75,40,5,205,4751
MAHARASHTRA,THANE COMMR.,2010,107,72,9,365,9943
MAHARASHTRA,THANE RURAL,2010,135,46,6,120,6213
MAHARASHTRA,WARDHA,2010,41,29,2,93,3882
MAHARASHTRA,WASHIM,2010,40,21,5,102,2070
MAHARASHTRA,YAVATMAL,2010,68,43,7,165,4777
MAHARASHTRA,TOTAL,2010,2744,1926,393,7434,208168


MAHARASHTRA,AHMEDNAGAR,2011,107,108,32,677,7648
MAHARASHTRA,AKOLA,2011,46,43,13,140,4025
MAHARASHTRA,AMRAVATI COMMR.,2011,15,42,2,94,2931
MAHARASHTRA,AMRAVATI RURAL,2011,58,38,3,104,4228
MAHARASHTRA,AURANGABAD COMMR.,2011,41,118,7,122,3781
MAHARASHTRA,AURANGABAD RURAL,2011,60,48,36,212,3214
MAHARASHTRA,BEED,2011,61,72,11,378,4230
MAHARASHTRA,BHANDARA,2011,33,15,1,50,2077
MAHARASHTRA,BULDHANA,2011,60,41,14,194,3902
MAHARASHTRA,CHANDRAPUR,2011,50,39,4,109,3828
MAHARASHTRA,DHULE,2011,49,31,4,203,2749
MAHARASHTRA,GADCHIROLI,2011,82,27,0,23,957
MAHARASHTRA,GONDIA,2011,37,22,1,36,1947
MAHARASHTRA,HINGOLI,2011,39,33,0,82,1743
MAHARASHTRA,JALGAON,2011,81,72,8,364,5518
MAHARASHTRA,JALNA,2011,47,40,23,289,3017
MAHARASHTRA,KOLHAPUR,2011,65,41,19,121,4114
MAHARASHTRA,LATUR,2011,68,48,4,156,3418
MAHARASHTRA,MUMBAI COMMR.,2011,203,180,14,393,32647
MAHARASHTRA,MUMBAI RLY.,2011,12,2,0,0,2471
MAHARASHTRA,NAGPUR COMMR.,2011,114,74,4,174,8063
MAHARASHTRA,NAGPUR RLY.,2011,3,3,0,1,1235
MAHARASHTRA,NAGPUR RURAL,2011,65,31,11,62,3891
MAHARASHTRA,NANDED,2011,90,76,29,325,5162
MAHARASHTRA,NANDURBAR,2011,43,16,0,87,1486
MAHARASHTRA,NASIK COMMR.,2011,37,32,5,115,4512
MAHARASHTRA,NASIK RURAL,2011,86,59,5,298,4989
MAHARASHTRA,NAVI MUMBAI,2011,70,22,1,110,5658
MAHARASHTRA,OSMANABAD,2011,42,35,2,186,3083
MAHARASHTRA,PARBHANI,2011,58,64,5,215,2967
MAHARASHTRA,PUNE COMMR.,2011,110,118,8,251,12622
MAHARASHTRA,PUNE RLY.,2011,3,0,0,0,462
MAHARASHTRA,PUNE RURAL,2011,148,97,16,172,7902
MAHARASHTRA,RAIGAD,2011,39,16,2,42,1997
MAHARASHTRA,RATNAGIRI,2011,15,12,1,49,1463
MAHARASHTRA,SANGLI,2011,53,29,5,98,2743
MAHARASHTRA,SATARA,2011,55,40,2,179,4312
MAHARASHTRA,SINDHUDURG,2011,12,7,0,5,792
MAHARASHTRA,SOLAPUR COMMR.,2011,24,29,0,68,1965
MAHARASHTRA,SOLAPUR RURAL,2011,107,47,6,175,4716
MAHARASHTRA,THANE COMMR.,2011,127,65,8,342,9653
MAHARASHTRA,THANE RURAL,2011,147,61,10,57,6005
MAHARASHTRA,WARDHA,2011,37,33,3,62,3492
MAHARASHTRA,WASHIM,2011,35,32,12,118,2279
MAHARASHTRA,YAVATMAL,2011,84,47,8,198,5008
MAHARASHTRA,TOTAL,2011,2818,2105,339,7136,204902


MAHARASHTRA,AHMEDNAGAR,2012,111,91,23,576,7246
MAHARASHTRA,AKOLA,2012,42,34,4,87,3442
MAHARASHTRA,AMRAVATI COMMR.,2012,24,38,1,74,2713
MAHARASHTRA,AMRAVATI RURAL,2012,63,56,3,139,4442
MAHARASHTRA,AURANGABAD COMMR.,2012,46,55,4,120,3659
MAHARASHTRA,AURANGABAD RURAL,2012,74,49,18,298,3562
MAHARASHTRA,BEED,2012,84,71,8,378,4099
MAHARASHTRA,BHANDARA,2012,20,11,3,59,2019
MAHARASHTRA,BULDHANA,2012,49,38,27,193,3497
MAHARASHTRA,CHANDRAPUR,2012,44,33,4,125,3763
MAHARASHTRA,DHULE,2012,50,39,4,207,2542
MAHARASHTRA,GADCHIROLI,2012,57,69,0,12,981
MAHARASHTRA,GONDIA,2012,41,28,0,42,1772
MAHARASHTRA,HINGOLI,2012,25,16,6,88,1391
MAHARASHTRA,JALGAON,2012,102,77,1,409,4954
MAHARASHTRA,JALNA,2012,45,69,36,303,3051
MAHARASHTRA,KOLHAPUR,2012,63,39,17,148,4554
MAHARASHTRA,LATUR,2012,67,63,4,212,3237
MAHARASHTRA,MUMBAI COMMR.,2012,215,170,11,388,30508
MAHARASHTRA,MUMBAI RLY.,2012,8,3,1,0,2325
MAHARASHTRA,NAGPUR COMMR.,2012,88,85,6,166,8277
MAHARASHTRA,NAGPUR RLY.,2012,5,5,0,3,1292
MAHARASHTRA,NAGPUR RURAL,2012,55,30,7,76,3622
MAHARASHTRA,NANDED,2012,81,57,25,421,4668
MAHARASHTRA,NANDURBAR,2012,35,17,0,78,1358
MAHARASHTRA,NASIK COMMR.,2012,32,26,3,147,4390
MAHARASHTRA,NASIK RURAL,2012,87,63,17,319,5216
MAHARASHTRA,NAVI MUMBAI,2012,57,20,3,91,5157
MAHARASHTRA,OSMANABAD,2012,54,31,2,175,3055
MAHARASHTRA,PARBHANI,2012,34,63,3,242,2836
MAHARASHTRA,PUNE COMMR.,2012,110,124,9,215,12308
MAHARASHTRA,PUNE RLY.,2012,4,0,0,0,445
MAHARASHTRA,PUNE RURAL,2012,163,97,12,221,8433
MAHARASHTRA,RAIGAD,2012,40,13,19,40,2159
MAHARASHTRA,RATNAGIRI,2012,10,12,2,38,1398
MAHARASHTRA,SANGLI,2012,47,41,8,64,2783
MAHARASHTRA,SATARA,2012,65,48,0,166,5042
MAHARASHTRA,SINDHUDURG,2012,8,7,0,11,803
MAHARASHTRA,SOLAPUR COMMR.,2012,18,27,1,53,1992
MAHARASHTRA,SOLAPUR RURAL,2012,92,52,3,151,4476
MAHARASHTRA,THANE COMMR.,2012,110,93,4,330,10144
MAHARASHTRA,THANE RURAL,2012,146,74,6,111,6919
MAHARASHTRA,WARDHA,2012,30,32,0,59,3564
MAHARASHTRA,WASHIM,2012,40,31,6,133,2241
MAHARASHTRA,YAVATMAL,2012,71,71,18,247,6365
MAHARASHTRA,TOTAL,2012,2712,2168,329,7415,202700
