STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,DOWRY DEATHS,CRUELTY BY HUSBAND OR HIS RELATIVES,TOTAL IPC CRIMES
MAHARASHTRA,AMRAVATI RURAL,2003,53,38,8,151,3763
MAHARASHTRA,AURANGABAD COMMR.,2003,28,26,4,130,2286
MAHARASHTRA,AURANGABAD RURAL,2003,60,24,32,190,2675
MAHARASHTRA,BEED,2003,72,55,10,186,3887
MAHARASHTRA,BHANDARA,2003,30,7,7,69,2313
MAHARASHTRA,BULDHANA,2003,53,33,61,164,3821
MAHARASHTRA,CHANDRAPUR,2003,41,21,3,101,3033
MAHARASHTRA,DHULE,2003,32,13,2,90,1754
MAHARASHTRA,GADCHIROLI,2003,58,28,2,81,1501
MAHARASHTRA,GONDIA,2003,41,13,6,74,1875
MAHARASHTRA,HINGOLI,2003,28,29,1,112,1735
MAHARASHTRA,JALGAON,2003,82,39,8,239,3927
MAHARASHTRA,JALNA,2003,53,25,15,204,2430
MAHARASHTRA,KOLHAPUR,2003,66,40,25,64,3358
MAHARASHTRA,LATUR,2003,56,34,31,80,3074
MAHARASHTRA,MUMBAI,2003,242,115,8,199,25686
MAHARASHTRA,MUMBAI RLY.,2003,9,8,1,0,1841
MAHARASHTRA,NAGPUR COMMR.,2003,104,40,4,136,7357
MAHARASHTRA,NAGPUR RLY.,2003,8,2,0,0,1169
MAHARASHTRA,NAGPUR RURAL,2003,73,28,5,111,4644
MAHARASHTRA,NANDED,2003,71,90,16,229,5829
MAHARASHTRA,NANDURBAR,2003,43,13,2,77,1283
MAHARASHTRA,NASIK COMMR.,2003,27,20,4,116,2542
MAHARASHTRA,NASIK RURAL,2003,110,46,3,358,4384
MAHARASHTRA,NAVI MUMBAI,2003,50,19,6,55,2861
MAHARASHTRA,OSMANABAD,2003,38,16,3,92,2507
MAHARASHTRA,PARBHANI,2003,52,30,7,149,2350
MAHARASHTRA,PUNE COMMR.,2003,110,54,2,166,8813
MAHARASHTRA,PUNE RLY.,2003,0,0,0,0,261
MAHARASHTRA,PUNE RURAL,2003,127,26,7,165,4479
MAHARASHTRA,RAIGAD,2003,50,22,2,57,2179
MAHARASHTRA,RATNAGIRI,2003,20,14,0,47,1272
MAHARASHTRA,SANGLI,2003,78,24,7,87,2713
MAHARASHTRA,SATARA,2003,61,20,8,156,3164
MAHARASHTRA,SINDHUDURG,2003,14,4,1,3,810
MAHARASHTRA,SOLAPUR COMMR.,2003,22,15,4,72,1682
MAHARASHTRA,SOLAPUR RURAL,2003,112,50,4,130,3230
MAHARASHTRA,THANE COMMR.,2003,111,63,4,153,6708
MAHARASHTRA,THANE RURAL,2003,149,49,6,107,4008
MAHARASHTRA,WARDHA,2003,48,26,1,67,3783
MAHARASHTRA,WASHIM,2003,27,24,9,119,1959
MAHARASHTRA,YAVATMAL,2003,83,68,12,170,4223
MAHARASHTRA,TOTAL,2003,2772,1412,368,5452,164306


MAHARASHTRA,AHMEDNAGAR,2004,98,57,0,277,4738
MAHARASHTRA,AKOLA,2004,55,45,6,147,4354
MAHARASHTRA,AMRAVATI COMMR.,2004,19,20,1,54,2740
MAHARASHTRA,AMRAVATI RURAL,2004,60,28,9,104,3660
MAHARASHTRA,AURANGABAD COMMR.,2004,31,17,5,132,2326
MAHARASHTRA,AURANGABAD RURAL,2004,41,21,20,225,2777
MAHARASHTRA,BEED,2004,57,42,4,246,3936
MAHARASHTRA,BHANDARA,2004,22,11,1,52,2550
MAHARASHTRA,BULDHANA,2004,48,35,18,195,3705
MAHARASHTRA,CHANDRAPUR,2004,59,19,3,94,3539
MAHARASHTRA,DHULE,2004,32,16,1,96,2042
MAHARASHTRA,GADCHIROLI,2004,47,49,3,46,1367
MAHARASHTRA,GONDIA,2004,27,11,2,54,1898
MAHARASHTRA,HINGOLI,2004,35,25,1,85,1689
MAHARASHTRA,JALGAON,2004,83,39,6,323,4336
MAHARASHTRA,JALNA,2004,53,30,24,226,2603
MAHARASHTRA,KOLHAPUR,2004,54,54,29,78,3132
MAHARASHTRA,LATUR,2004,61,31,39,82,3382
MAHARASHTRA,MUMBAI,2004,253,127,13,248,29453
MAHARASHTRA,MUMBAI RLY.,2004,7,4,0,0,2020
MAHARASHTRA,NAGPUR COMMR.,2004,112,56,9,156,8518
MAHARASHTRA,NAGPUR RLY.,2004,5,1,0,0,1249
MAHARASHTRA,NAGPUR RURAL,2004,71,27,8,83,4884
MAHARASHTRA,NANDED,2004,91,82,16,198,5687
MAHARASHTRA,NANDURBAR,2004,35,17,1,82,1247
MAHARASHTRA,NASIK COMMR.,2004,19,13,4,126,2606
MAHARASHTRA,NASIK RURAL,2004,97,41,11,371,4344
MAHARASHTRA,NAVI MUMBAI,2004,61,32,2,51,3688
MAHARASHTRA,OSMANABAD,2004,46,15,1,105,2418
MAHARASHTRA,PARBHANI,2004,42,31,4,132,2444
MAHARASHTRA,PUNE COMMR.,2004,100,76,0,174,10754
MAHARASHTRA,PUNE RLY.,2004,4,0,0,0,186
MAHARASHTRA,PUNE RURAL,2004,132,31,10,154,4830
MAHARASHTRA,RAIGAD,2004,61,14,2,47,2127
MAHARASHTRA,RATNAGIRI,2004,16,8,1,44,1301
MAHARASHTRA,SANGLI,2004,69,26,3,85,2588
MAHARASHTRA,SATARA,2004,59,28,7,169,3288
MAHARASHTRA,SINDHUDURG,2004,10,4,0,6,791
MAHARASHTRA,SOLAPUR COMMR.,2004,20,13,2,60,1737
MAHARASHTRA,SOLAPUR RURAL,2004,96,43,10,124,2990
MAHARASHTRA,THANE COMMR.,2004,115,72,7,190,7286
MAHARASHTRA,THANE RURAL,2004,144,44,10,105,4250
MAHARASHTRA,WARDHA,2004,42,25,5,70,3692
MAHARASHTRA,WASHIM,2004,28,21,5,144,2233
MAHARASHTRA,YAVATMAL,2004,79,62,11,206,4917
MAHARASHTRA,TOTAL,2004,2696,1463,314,5646,176302


MAHARASHTRA,AHMEDNAGAR,2005,92,56,0,338,5241
MAHARASHTRA,AKOLA,2005,46,40,3,184,4594
MAHARASHTRA,AMRAVATI COMMR.,2005,30,25,2,57,2573
MAHARASHTRA,AMRAVATI RURAL,2005,78,23,10,132,3655
MAHARASHTRA,AURANGABAD COMMR.,2005,22,27,2,93,2476
MAHARASHTRA,AURANGABAD RURAL,2005,46,17,26,263,2715
MAHARASHTRA,BEED,2005,62,52,7,275,4324
MAHARASHTRA,BHANDARA,2005,27,11,3,67,2398
MAHARASHTRA,BULDHANA,2005,51,62,53,187,4240
MAHARASHTRA,CHANDRAPUR,2005,61,18,2,110,3446
MAHARASHTRA,DHULE,2005,47,30,10,110,2258
MAHARASHTRA,GADCHIROLI,2005,60,45,1,42,1266
